join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,model_code,bps_name,ref_label,cur_scls_count,bps_count,bps_acres,ref_scls_acres,cur_scls_acres,cur_percent
14750_41_50_51_63_64_65_66_Water,0,NA,NA,NA,NA,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Water,NA,28925,6433,0,NA,NA
14750_41_50_51_63_64_65_66_UN,0,NA,NA,NA,NA,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,UN,9754,28925,6433,0,2169,33.72169404
14750_41_50_51_63_64_65_66_UE,0,NA,NA,NA,NA,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,UE,183,28925,6433,0,41,0.6326707
14770_40_41_50_51_A,14,A,Early1:ALL,Early1,ALL,14770_40_41_50_51,Boreal Acidic Peatland Systems,A,30150,1404131,312271,43718,6705,2.14723555
14770_40_41_50_51_B,16,B,Mid1:OPN,Mid1,OPN,14770_40_41_50_51,Boreal Acidic Peatland Systems,B,34260,1404131,312271,49963,7619,2.439943282
14770_40_41_50_51_C,38,C,Late1:CLS,Late1,CLS,14770_40_41_50_51,Boreal Acidic Peatland Systems,C,314290,1404131,312271,118663,69896,22.38323917
14770_40_41_50_51_D,23,D,Late2:ALL,Late2,ALL,14770_40_41_50_51,Boreal Acidic Peatland Systems,D,980267,1404131,312271,71822,218006,69.813073
14770_40_41_50_51_E,9,E,Late3:OPN,Late3,OPN,14770_40_41_50_51,Boreal Acidic Peatland Systems,E,539,1404131,312271,28104,120,0.038386732
14770_40_41_50_51_Agriculture,0,NA,NA,NA,NA,14770_40_41_50_51,Boreal Acidic Peatland Systems,Agriculture,2077,1404131,312271,0,462,0.147920671
14770_40_41_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14770_40_41_50_51_Water,0,NA,NA,NA,NA,14770_40_41_50_51,Boreal Acidic Peatland Systems,Water,NA,1404131,312271,0,NA,NA
14770_40_41_50_51_UN,0,NA,NA,NA,NA,14770_40_41_50_51,Boreal Acidic Peatland Systems,UN,15508,1404131,312271,0,3449,1.104455354
14770_40_41_50_51_UE,0,NA,NA,NA,NA,14770_40_41_50_51,Boreal Acidic Peatland Systems,UE,9602,1404131,312271,0,2135,0.683839328
14810_41_50_51_63_A,14,A,Early1:ALL,Early1,ALL,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,A,66700,1941708,431825,60456,14834,3.435120008
14810_41_50_51_63_B,11,B,Early2:CLS,Early2,CLS,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,B,66604,1941708,431825,47501,14812,3.430175907
14810_41_50_51_63_C,21,C,Mid1:CLS,Mid1,CLS,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,C,383305,1941708,431825,90683,85245,19.74060981
14810_41_50_51_63_D,54,D,Late1:CLS,Late1,CLS,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,D,1388215,1941708,431825,233186,308731,71.49452956
14810_41_50_51_63_E,NA,NA,NA,NA,NA,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,E,NA,1941708,431825,NA,NA,NA
14810_41_50_51_63_Agriculture,0,NA,NA,NA,NA,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Agriculture,5975,1941708,431825,0,1329,0.307718771
14810_41_50_51_63_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14810_41_50_51_63_Water,0,NA,NA,NA,NA,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Water,NA,1941708,431825,0,NA,NA
14810_41_50_51_63_UN,0,NA,NA,NA,NA,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,UN,NA,1941708,431825,0,NA,NA
14810_41_50_51_63_UE,0,NA,NA,NA,NA,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,UE,9997,1941708,431825,0,2223,0.514855993
14920_41_50_51_52_63_A,22,A,Early1:ALL,Early1,ALL,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,A,3,37165,8265,1818,1,0.008072111
14920_41_50_51_52_63_B,22,B,Early2:ALL,Early2,ALL,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,B,2107,37165,8265,1818,469,5.669312525
14920_41_50_51_52_63_C,56,C,Mid1:CLS,Mid1,CLS,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,C,508,37165,8265,4629,113,1.366877438
14920_41_50_51_52_63_D,NA,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,D,NA,37165,8265,NA,NA,NA
14920_41_50_51_52_63_E,NA,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,E,NA,37165,8265,NA,NA,NA
14920_41_50_51_52_63_Agriculture,0,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Agriculture,56,37165,8265,0,12,0.150679403
14920_41_50_51_52_63_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14920_41_50_51_52_63_Water,0,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Water,NA,37165,8265,0,NA,NA
14920_41_50_51_52_63_UN,0,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,UN,32743,37165,8265,0,7282,88.1017086
14920_41_50_51_52_63_UE,0,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,UE,578,37165,8265,0,129,1.555226692
14940_41_50_51_A,8,A,Early1:OPN,Early1,OPN,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,A,1,734,163,13,0,0.136239782
14940_41_50_51_B,56,B,Late1:OPN,Late1,OPN,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,B,20,734,163,91,4,2.72479564
14940_41_50_51_C,31,C,Late2:CLS,Late2,CLS,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,C,1,734,163,51,0,0.136239782
14940_41_50_51_D,5,D,Late3:CLS,Late3,CLS,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,D,234,734,163,8,52,31.88010899
14940_41_50_51_E,NA,NA,NA,NA,NA,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,E,NA,734,163,NA,NA,NA
14940_41_50_51_Agriculture,0,NA,NA,NA,NA,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Agriculture,4,734,163,0,1,0.544959128
14940_41_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14940_41_50_51_Water,0,NA,NA,NA,NA,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Water,NA,734,163,0,NA,NA
14940_41_50_51_UN,0,NA,NA,NA,NA,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,UN,433,734,163,0,96,58.99182561
14940_41_50_51_UE,0,NA,NA,NA,NA,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,UE,26,734,163,0,6,3.542234332
13022_41_50_51_Developed,NA,NA,NA,NA,NA,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Developed,132911,2124365,472447,NA,29559,6.256504885
13023_51_Developed,NA,NA,NA,NA,NA,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,Developed,NA,1,0,NA,NA,NA
13441_51_Developed,NA,NA,NA,NA,NA,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,Developed,54199,494848,110051,NA,12054,10.95265617
13442_51_Developed,NA,NA,NA,NA,NA,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,Developed,4583,51237,11395,NA,1019,8.944707926
13620_51_63_64_65_66_Developed,NA,NA,NA,NA,NA,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Developed,30200,275957,61371,NA,6716,10.94373399
13622_41_50_Developed,NA,NA,NA,NA,NA,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,Developed,819,2221,494,NA,182,36.8752814
13651_51_Developed,NA,NA,NA,NA,NA,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,Developed,31403,428800,95363,NA,6984,7.323460821
13652_51_Developed,NA,NA,NA,NA,NA,13652_51,Boreal White Spruce-Fir-Hardwood Forest - Coastal,Developed,45864,490077,108990,NA,10200,9.358529374
13660_50_Developed,NA,NA,NA,NA,NA,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed,49,111,25,NA,11,44.14414414
13660_51_63_64_65_66_Developed,NA,NA,NA,NA,NA,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed,37553,429463,95510,NA,8352,8.744175866
14071_41_50_51_Developed,NA,NA,NA,NA,NA,14071_41_50_51,Laurentian Pine-Oak Barrens,Developed,11261,99987,22237,NA,2504,11.26246412
14072_41_50_51_Developed,NA,NA,NA,NA,NA,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,Developed,2900,27367,6086,NA,645,10.59670406
14120_39_40_41_42_43_50_51_Developed,NA,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Developed,70,110,24,NA,16,63.63636364
14210_31_38_42_43_44_50_51_Developed,NA,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Developed,NA,8,2,NA,NA,NA
14440_41_50_51_Developed,NA,NA,NA,NA,NA,14440_41_50_51,Eastern Boreal Floodplain,Developed,890,72192,16055,NA,198,1.232823582
14660_50_51_Developed,NA,NA,NA,NA,NA,14660_50_51,Great Lakes Wooded Dune and Swale,Developed,6,340,76,NA,1,1.764705882
14750_41_50_51_63_64_65_66_Developed,NA,NA,NA,NA,NA,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Developed,425,28925,6433,NA,95,1.4693172
14770_40_41_50_51_Developed,NA,NA,NA,NA,NA,14770_40_41_50_51,Boreal Acidic Peatland Systems,Developed,17438,1404131,312271,NA,3878,1.241906916
14810_41_50_51_63_Developed,NA,NA,NA,NA,NA,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Developed,20912,1941708,431825,NA,4651,1.076989949
14920_41_50_51_52_63_Developed,NA,NA,NA,NA,NA,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Developed,1170,37165,8265,NA,260,3.148123234
14940_41_50_51_Developed,NA,NA,NA,NA,NA,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Developed,15,734,163,NA,3,2.04359673
