join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,model_code,bps_name,ref_label,cur_scls_count,bps_count,bps_acres,ref_scls_acres,cur_scls_acres,cur_percent
13023_51_UN,0,NA,NA,NA,NA,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,UN,NA,1,0,0,NA,NA
13023_51_UE,0,NA,NA,NA,NA,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,UE,NA,1,0,0,NA,NA
13441_51_A,35,A,Early1:ALL,Early1,ALL,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,A,5098,494848,110051,38518,1134,1.030215339
13441_51_B,15,B,Mid1:OPN,Mid1,OPN,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,B,1481,494848,110051,16508,329,0.29928382
13441_51_C,31,C,Mid2:OPN,Mid2,OPN,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,C,63264,494848,110051,34116,14070,12.78453182
13441_51_D,19,D,Late1:CLS,Late1,CLS,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,D,303454,494848,110051,20910,67487,61.32266878
13441_51_E,NA,NA,NA,NA,NA,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,E,NA,494848,110051,NA,NA,NA
13441_51_Agriculture,0,NA,NA,NA,NA,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,Agriculture,2146,494848,110051,0,477,0.43366852
13441_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13441_51_Water,0,NA,NA,NA,NA,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,Water,NA,494848,110051,0,NA,NA
13441_51_UN,0,NA,NA,NA,NA,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,UN,5215,494848,110051,0,1160,1.053858963
13441_51_UE,0,NA,NA,NA,NA,13441_51,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,UE,59991,494848,110051,0,13342,12.12311659
13442_51_A,31,A,Early1:ALL,Early1,ALL,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,A,8,51237,11395,3532,2,0.015613717
13442_51_B,34,B,Mid1:CLS,Mid1,CLS,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,B,1222,51237,11395,3874,272,2.384995218
13442_51_C,25,C,Mid2:CLS,Mid2,CLS,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,C,21906,51237,11395,2849,4872,42.75425962
13442_51_D,10,D,Late1:CLS,Late1,CLS,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,D,NA,51237,11395,1139,NA,NA
13442_51_E,NA,NA,NA,NA,NA,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,E,NA,51237,11395,NA,NA,NA
