"","BpS_Name","refLabel","refCur","Percent"
"95","Boreal White Spruce-Fir-Hardwood Forest - Coastal","Agriculture","refPercent",0
"96","Boreal White Spruce-Fir-Hardwood Forest - Coastal","Agriculture","currentPercent",11
"97","Boreal White Spruce-Fir-Hardwood Forest - Coastal","Developed","refPercent",0
"98","Boreal White Spruce-Fir-Hardwood Forest - Coastal","Developed","currentPercent",9
"99","Boreal White Spruce-Fir-Hardwood Forest - Coastal","Water","refPercent",0
"100","Boreal White Spruce-Fir-Hardwood Forest - Coastal","Water","currentPercent",NA
"101","Boreal White Spruce-Fir-Hardwood Forest - Coastal","UN","refPercent",0
"102","Boreal White Spruce-Fir-Hardwood Forest - Coastal","UN","currentPercent",NA
"103","Boreal White Spruce-Fir-Hardwood Forest - Coastal","UE","refPercent",0
"104","Boreal White Spruce-Fir-Hardwood Forest - Coastal","UE","currentPercent",4
"105","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","A","refPercent",3
"106","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","A","currentPercent",NA
"107","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","B","refPercent",16
"108","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","B","currentPercent",NA
"109","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","C","refPercent",39
"110","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","C","currentPercent",5
"111","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","D","refPercent",42
"112","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","D","currentPercent",48
"113","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","E","refPercent",NA
"114","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","E","currentPercent",NA
"115","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Agriculture","refPercent",0
"116","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Agriculture","currentPercent",0
"117","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Developed","refPercent",0
"118","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Developed","currentPercent",44
"119","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Water","refPercent",0
